Category: Affixes
The words in the alphabetical list may be extended by the use of one or more of these affixes:

Category: Cardinal numbers
one|n|wʌn|NULL|один
two|n|tuː|NULL|два
three|n|θriː|NULL|три
four|n|fɔːr|NULL|чотири
five|n|faɪv|NULL|п'ять
six|n|sɪks|NULL|шість
seven|n|ˈsɛvn|NULL|сім
eight|n|eɪt|NULL|вісім
nine|n|naɪn|NULL|дев'ять
ten|n|tɛn|NULL|десять

Category: Clothes and Accessories
T-shirt|n|ˈtiːˌʃɜːrt|футболка
backpack|n|ˈbækpæk|рюкзак
belt|n|bɛlt|пояс; ремінь
blouse|n|blaʊz|блузка
boot|n|buːt|чобіт; бутс
button|n|ˈbʌtən|кнопка; ґудзик
cap|n|kæp|ковпак; кришка
cloth|n|klɔθ|тканина; матеріал
collar|n|ˈkɒlər|комір; нашийник
costume|n|ˈkɒstjuːm|костюм; маскарадний костюм
cotton|n|ˈkɒtən|бавовна; ватне волокно
dress|n|dres|сукня; одяг
dry cleaning|n|ˈdraɪ ˈkliːnɪŋ|хімчистка
earring|n|ˈɪərɪŋ|сережка
fashion|n|ˈfæʃən|мода; стиль
fasten|v|ˈfɑːsən|закріплювати; прикріплювати
fit|adj|fɪt|підходящий; здоровий
fold|v|fəʊld|складати; згинати
glasses|n|ˈɡlɑːsɪz|окуляри
glove|n|ɡlʌv|рукавичка
go with|v phr|ɡəʊ wɪð|іти з; підходити до
handbag|n|ˈhændˌbæɡ|сумка
handkerchief|n|ˈhæŋkətʃɪf|носовичок
hat|n|hæt|капелюх
jacket|n|ˈdʒækɪt|куртка
jeans|n|dʒiːnz|джинси
jewellery|n|ˈdʒuːəlri|коштовності; прикраси
knit|v|nɪt|в'язати
laundry|n|ˈlɔːndri|пральня; прання
leather|n|ˈleðə|шкіра
lipstick|n|ˈlɪpˌstɪk|помада
make-up|n|ˈmeɪkʌp|макіяж; косметика
match|n/v|mætʃ|матч; збіг; підходити; відповідати
material|n/adj|məˈtɪərɪəl|матеріал; матеріальний
old-fashioned|adj|ˌoʊldˈfæʃənd|старомодний
pants|n|pænts|штани; трусики
pattern|n|ˈpætərn|візерунок; модель
perfume|n|ˈpɜːrfjuːm|парфум; духи
plastic|n|ˈplæstɪk|пластик
pocket|n|ˈpɒkɪt|кишеня
pullover|n|ˈpʊlˌoʊvər|светр
put on|v|pʊt ɒn|одягнути; увімкнути
pyjamas|n|pɪˈdʒɑːməz|піжама
raincoat|n|ˈreɪnkoʊt|плащ
shirt|n|ʃɜːrt|сорочка
shoe|n|ʃuː|взуття
shorts|n|ʃɔːrts|шорти
silk|n|sɪlk|шовк
size|n|saɪz|розмір
skirt|n|skɜːrt|спідниця
sleeve|n|sliːv|рукав
socks|n|sɒks|шкарпетки
suit|v|suːt|підходити; костюм
sweater|n|ˈswɛtər|светр
sweatshirt|n|ˈswɛtˌʃɜːrt|свитшот
swimming|n/v|ˈswɪmɪŋ|плавання; плавати
swimsuit|n|ˈswɪmˌsuːt|купальник
take off|v|ˌteɪk ˈɒf|знімати; злітати
tie|v|taɪ|зав'язувати; краватка
tights|n|taɪts|колготки
tracksuit|n|ˈtrækˌsuːt|спортивний костюм
trainers|n|ˈtreɪnərz|кросівки
trousers|n|ˈtraʊzərz|штани
try on|v|ˌtraɪ ˈɒn|приміряти
umbrella|n|ʌmˈbrɛlə|парасолька
underpants|n|ˈʌndərˌpænts|трусики
uniform|n|ˈjuːnɪfɔːrm|форма; однострій
wear|v|weər|носити; одягати
wool|n|wʊl|вовна

Category: Colours
black|adj|blæk|чорний
blue|adj|bluː|синій
brown|adj|braʊn|коричневий
gold|n/adj|ɡəʊld|золото; золотий
green|adj/n|ɡriːn|зелений; зелений колір
grey|adj/n|ɡreɪ|сірий; сірий колір
orange|adj|ˈɒrɪndʒ|помаранчевий
pink|adj|pɪŋk|рожевий
purple|adj|ˈpɜːrpl|фіолетовий
red|adj|rɛd|червоний
silver|n|ˈsɪlvər|срібло
white|adj|waɪt|білий
yellow|adj|ˈjɛloʊ|жовтий

Category: Communications-and-Technology
CD-Rom|n|ˌsiːdiːˈrɒm|CD-ROM
CD|n|ˌsiːˈdiː|компакт-диск
DVD|n|ˌdiːˌviːˈdiː|DVD-диск
it|pron|ɪt|воно; це
access|n/v|ˈækses|доступ; отримувати доступ
address|n/v|əˈdres|адреса; звертатися
airmail|n|ˈeərmeɪl|авіапошта
by post|adv|baɪ poʊst|по пошті
calculator|n|ˈkælkjʊleɪtər|калькулятор
call back|v|ˌkɔːl ˈbæk|передзвонити
call|v|kɔːl|дзвонити; називати
chat room|n|ˈʧæt ruːm|чат-кімната
chat|v|ʧæt|балакати; спілкуватися
click|v|klɪk|клацати; натиснути
computer|n|kəmˈpjuːtər|комп'ютер
connect|v|kəˈnɛkt|з'єднувати; приєднувати
connection|n|kəˈnɛkʃən|зв'язок; з'єднання
delete|v|dɪˈliːt|видаляти
dial up|v|ˌdaɪəl ˈʌp|набирати номер
dial|v|ˈdaɪəl|набирати; крутити
digital|adj|ˈdɪdʒɪtəl|цифровий
directory|n|dɪˈrɛktəri|довідник; каталог
disc|n|dɪsk|диск; платівка
disk|n|dɪsk|диск; магнітний диск
download|v|ˈdaʊnˌləʊd|завантажувати; скачувати
electronic|adj|ˌɪlɛkˈtrɒnɪk|електронний
email|n|ˈiːmeɪl|електронна пошта
engaged|adj|ɪnˈɡeɪdʒd|зайнятий; заручений
enter|v|ˈɛntər|входити; вписувати
envelope|n|ˈɛnvələʊp|конверт; обгортка
equipment|n|ɪˈkwɪpmənt|обладнання; екіпірування
fax|n|fæks|факс; факсимільний зв'язок
hang up|v|ˌhæŋ ˈʌp|покласти трубку
headline|n|ˈhɛdˌlaɪn|заголовок
homepage|n|ˈhəʊmˌpeɪdʒ|головна сторінка
internet|n|ˈɪntəˌnɛt|інтернет
invent|v|ɪnˈvɛnt|винайти
invention|n|ɪnˈvɛnʃən|винахід
keyboard|n|ˈkiːbɔːrd|клавіатура
laptop|n|ˈlæpˌtɒp|ноутбук
laser|n|ˈleɪzə|лазер
machine|n|məˈʃiːn|машина; апарат
message|n|ˈmɛsɪdʒ|повідомлення; послання
mobile phone|n|ˌmoʊbəl ˈfoʊn|мобільний телефон
mouse mat|n|ˈmaʊs mæt|килимок для миші
mouse|n|maʊs|миша
network|n|ˈnɛtwɜːk|мережа
online|adv|ˈɒnlaɪn|онлайн
operator|n|ˈɒpəreɪtər|оператор
parcel|n|ˈpɑːsəl|посилка; пакет
password|n|ˈpæswɜːrd|пароль
phone|n|foʊn|телефон
postage|n|ˈpoʊstɪdʒ|поштовий збір
postcard|n|ˈpoʊstˌkɑːrd|листівка
print|v|prɪnt|друкувати
printer|n|ˈprɪntər|принтер
program|n|ˈprəʊɡræm|програма
reply|v|rɪˈplaɪ|відповідати
ring up|v|rɪŋ ʌp|дзвонити
ring|n|rɪŋ|кільце; дзвоник
screen|n|skriːn|екран
software|n|ˈsɒftˌweər|програмне забезпечення
switch off|v|ˌswɪtʃ ˈɒf|вимкнути
switch on|v|ˌswɪtʃ ˈɒn|увімкнути
telephone|n|ˈtɛlɪˌfoʊn|телефон
text message|n|ˈtɛkst ˌmɛsɪdʒ|текстове повідомлення
text|n|tɛkst|текст
turn off|v|ˌtɜːrn ˈɒf|вимкнути
turn on|v|ˌtɜːrn ˈɒn|увімкнути

Category: Continents
Africa|n|ˈæfrɪkə|NULL|Африка
Antarctica|n|ænˈtɑːrktɪkə|NULL|Антарктида
Asia|n|ˈeɪʒə|NULL|Азія
Australia|n|ɒˈstreɪliə|NULL|Австралія
Europe|n|ˈjʊrəp|NULL|Європа
North America|n|nɔːrθ əˈmɛrɪkə|NULL|Північна Америка
South America|n|saʊθ əˈmɛrɪkə|NULL|Південна Америка

Category: Countries, languages and nationalities
Brazil|n|brəˈzɪl|NULL|Бразилія
Brazilian|adj|brəˈzɪliən|NULL|бразильський
Canada|n|ˈkænədə|NULL|Канада
Canadian|adj|kəˈneɪdiən|NULL|канадський
China|n|ˈtʃaɪnə|NULL|Китай
Chinese|adj|ˌtʃaɪˈniːz|NULL|китайський
France|n|fræns|NULL|Франція
French|adj|frɛntʃ|NULL|французький
Germany|n|ˈdʒɜːrməni|NULL|Німеччина
German|adj|ˈdʒɜːrmən|NULL|німецький
India|n|ˈɪndiə|NULL|Індія
Indian|adj|ˈɪndiən|NULL|індійський
Ireland|n|ˈaɪərlənd|NULL|Ірландія
Irish|adj|ˈaɪrɪʃ|NULL|ірландський
Italy|n|ˈɪtəli|NULL|Італія
Italian|adj|ɪˈtæliən|NULL|італійський
Poland|n|ˈpoʊlənd|NULL|Польща
Polish|adj|ˈpoʊlɪʃ|NULL|польський
Spain|n|speɪn|NULL|Іспанія
Spanish|adj|ˈspænɪʃ|NULL|іспанський
Ukraine|n|juːˈkreɪn|NULL|Україна
Ukrainian|adj|juːˈkreɪniən|NULL|український
United Kingdom|n|juːˈnaɪtɪd ˈkɪŋdəm|NULL|Великобританія
British|adj|ˈbrɪtɪʃ|NULL|британський
United States|n|juːˈnaɪtɪd steɪts|NULL|США
American|adj|əˈmɛrɪkən|NULL|американський

Category: Days of the week
Monday|n|ˈmʌndeɪ|NULL|понеділок
Tuesday|n|ˈtjuːzdeɪ|NULL|вівторок
Wednesday|n|ˈwɛnzdeɪ|NULL|середа
Thursday|n|ˈθɜːrzdeɪ|NULL|четвер
Friday|n|ˈfraɪdeɪ|NULL|п'ятниця
Saturday|n|ˈsætərdeɪ|NULL|субота
Sunday|n|ˈsʌndeɪ|NULL|неділя

Category: Education
it|pron|ɪt|воно; це
absent|adj|ˈæbsənt|відсутній
advanced|adj|ədˈvænst|просунутий
arithmetic|n|əˈrɪθmətɪk|NULL|арифметика
art|n|ɑːt|мистецтво
bell|n|bɛl|дзвін; дзвоник
biology|n|baɪˈɒlədʒi|біологія
blackboard|n|ˈblækbɔːd|дошка
board|n|bɔːd|дошка; рада
break up|v|ˌbreɪk ˈʌp|перерва; розпадатися
break|v|breɪk|ламати; перерва
certificate|n|səˈtɪfɪkət|сертифікат
chemistry|n|ˈkɛmɪstri|хімія
class|n|klæs|клас; урок
classroom|n|ˈklæsˌruːm|класна кімната
college|n|ˈkɒlɪdʒ|коледж
composition|n|ˌkɒmpəˈzɪʃən|композиція; твір
corridor|n|ˈkɒrɪdɔːr|коридор
course|n|kɔːs|курс; страва
curriculum|n|kəˈrɪkjʊləm|навчальна програма
degree|n|dɪˈɡriː|ступінь; градус
desk|n|dɛsk|стіл; письмовий стіл
dictionary|n|ˈdɪkʃənəri|словник
diploma|n|dɪˈpləʊmə|диплом
drama|n|ˈdrɑːmə|драма; театр
economics|n|ˌiːkəˈnɒmɪks|економіка; економічна наука
educate|v|ˈɛdʒʊkeɪt|виховувати; навчати
elementary|adj|ˌɛlɪˈmɛntəri|початковий; елементарний
essay|n|ˈɛseɪ|есе; нарис
geography|n|dʒiˈɒɡrəfi|географія
handwriting|n|ˈhændˌraɪtɪŋ|почерк
history|n|ˈhɪstəri|історія
homework|n|ˈhəʊmwɜːk|домашнє завдання
instructor|n|ɪnˈstrʌktə|інструктор
intermediate|adj/n|ˌɪntəˈmiːdiət|середній; проміжний
laboratory|n|ləˈbɒrətəri|лабораторія
languages|n|ˈlæŋɡwɪdʒɪz|мови
lesson|n|ˈlɛsən|урок
mark|n/v|mɑːk|відмітка; позначка; оцінка; позначати
math|n|mæθ|математика
mathematics|n|ˌmæθ(ə)ˈmætɪks|математика; математики
music|n|ˈmjuːzɪk|музика
nature studies|n|ˈneɪtʃər ˈstʌdiz|природознавство
notice board|n|ˈnoʊtɪs bɔːrd|доска оголошень
pencil case|n|ˈpɛnsəl keɪs|пенал
photography|n|fəˈtɒɡrəfi|фотографія (як мистецтво або наука)
physics|n|ˈfɪzɪks|фізика
primary school|n|ˌpraɪməri ˈskuːl|початкова школа
qualification|n|ˌkwɒlɪfɪˈkeɪʃən|кваліфікація
qualify|v|ˈkwɒlɪfaɪ|кваліфікувати; відповідати вимогам
register|v|ˈrɛdʒɪstər|реєструвати
school|n|skuːl|школа
science|n|ˈsaɪəns|наука
secondary|adj|ˈsɛkəndəri|другорядний; середня
state school|n|ˌsteɪt ˈskuːl|державна школа
study|v|ˈstʌdi|вивчати
subject|n|ˈsʌbdʒɪkt|предмет; тема
technology|n|tɛkˈnɒlədʒi|технологія

Category: Entertainment-and-Media
CD-Rom|n|ˌsiːdiːˈrɒm|CD-ROM
CD|n|ˌsiːˈdiː|компакт-диск
DJ|n|ˌdiːˈdʒeɪ|діджей
DVD|n|ˌdiːˌviːˈdiː|DVD-диск
MP3 player|n|ˌɛm piː θriː ˈpleɪər|плеєр MP3
act|n/v|ækt|дія; діяти
action|n|ˈækʃn|дія; дію
actor|n|ˈæktər|актор
admission|n|ədˈmɪʃn|допуск; визнання
adventure|n|ədˈventʃər|пригода
advert|n|ˈædvɜːt|реклама
advertisement|n|ədˈvɜːtɪsmənt|реклама
article|n|ˈɑːtɪkl|стаття
audience|n|ˈɔːdiəns|аудиторія
ballet|n|ˈbæleɪ|балет
band|n|bænd|група; оркестр
book|n|bʊk|книга
camera|n|ˈkæmərə|камера; фотоапарат
cartoon|n|kɑːrˈtuːn|мультфільм; карикатура
cassette|n|kəˈsɛt|касета
channel|n|ˈʧænəl|канал; прохід
cinema|n|ˈsɪnəmə|кінотеатр
circus|n|ˈsɜːkəs|цирк
classical music|n|ˌklæsɪkəl ˈmjuːzɪk|класична музика
comedian|n|kəˈmiːdiən|комік; гуморист
comedy|n|ˈkɒmədi|комедія
comic|n|ˈkɒmɪk|комікс; гумористичний
commercial|adj|kəˈmɜːʃəl|комерційний; рекламний
concert|n|ˈkɒnsɜːt|концерт
costume|n|ˈkɒstjuːm|костюм; маскарадний костюм
dance|v|dɑːns|танцювати
deejay|n|ˈdiːdʒeɪ|діджей
disc|n|dɪsk|диск; платівка
disco|n|ˈdɪskoʊ|дискотека
display|v|dɪˈspleɪ|показувати; виставляти
documentary|n|ˌdɒkjʊˈmɛntəri|документальний фільм
drama|n|ˈdrɑːmə|драма; театр
entrance|n|ˈɛntrəns|вхід; в'їзд
exhibition|n|ˌɛksɪˈbɪʃən|виставка; ексгібіція
exit|n|ˈɛksɪt|вихід
festival|n|ˈfɛstɪvəl|фестиваль; свято
film maker|n|ˈfɪlmˌmeɪkər|режисер; кінотворець
film star|n|ˈfɪlm stɑːr|кіноактор; зірка кіно
film|n|fɪlm|фільм; кінострічка
folk music|n|ˈfoʊlk ˈmjuːzɪk|фольклорна музика
headline|n|ˈhɛdˌlaɪn|заголовок
hero|n|ˈhɪərəʊ|герой
hit song|n|ˈhɪt sɔːŋ|хіт; популярна пісня
interval|n|ˈɪntəvəl|інтервал; пауза
interview|n|ˈɪntərvjuː|інтерв'ю
