Category: Affixes
The words in the alphabetical list may be extended by the use of one or more of these affixes

Category: Cardinal numbers
one|n|wʌn|NULL|один
two|n|tuː|NULL|два
three|n|θriː|NULL|три
four|n|fɔːr|NULL|чотири
five|n|faɪv|NULL|п'ять
six|n|sɪks|NULL|шість
seven|n|ˈsɛvn|NULL|сім
eight|n|eɪt|NULL|вісім
nine|n|naɪn|NULL|дев'ять
ten|n|tɛn|NULL|десять

Category: Clothes and Accessories
T-shirt|n|ˈtiːˌʃɜːrt|3521|футболка
backpack|n|ˈbækpæk|NULL|рюкзак
belt|n|bɛlt|2453|пояс; ремінь
blouse|n|blaʊz|NULL|блузка
boot|n|buːt|2369|чобіт; бутс
button|n|ˈbʌtən|2668|кнопка; ґудзик
cap|n|kæp|2326|ковпак; кришка
cloth|n|klɔθ|3575|тканина; матеріал
collar|n|ˈkɒlər|4597|комір; нашийник
costume|n|ˈkɒstjuːm|4191|костюм; маскарадний костюм
cotton|n|ˈkɒtən|3161|бавовна; ватне волокно
dress|n|dres|1757|сукня; одяг
dry cleaning|n|ˈdraɪ ˈkliːnɪŋ|NULL|хімчистка
earring|n|ˈɪərɪŋ|NULL|сережка
fashion|n|ˈfæʃən|1936|мода; стиль
fasten|v|ˈfɑːsən|NULL|закріплювати; прикріплювати
fit|adj|fɪt|3428|підходящий; здоровий
fold|v|fəʊld|3525|складати; згинати
glasses|n|ˈɡlɑːsɪz|NULL|окуляри
glove|n|ɡlʌv|3121|рукавичка
go with|v phr|ɡəʊ wɪð|NULL|іти з; підходити до
handbag|n|ˈhændˌbæɡ|NULL|сумка
handkerchief|n|ˈhæŋkətʃɪf|NULL|носовичок
hat|n|hæt|2033|капелюх
jacket|n|ˈdʒækɪt|2287|куртка
jeans|n|dʒiːnz|3450|джинси
jewellery|n|ˈdʒuːəlri|NULL|коштовності; прикраси
knit|v|nɪt|NULL|в'язати
laundry|n|ˈlɔːndri|4992|пральня; прання
leather|n|ˈleðə|2967|шкіра
lipstick|n|ˈlɪpˌstɪk|NULL|помада
make-up|n|ˈmeɪkʌp|NULL|макіяж; косметика
match|n/v|mætʃ|2704|матч; збіг; підходити; відповідати
material|n/adj|məˈtɪərɪəl|642|матеріал; матеріальний
old-fashioned|adj|ˌoʊldˈfæʃənd|4791|старомодний
pants|n|pænts|NULL|штани; трусики
pattern|n|ˈpætərn|1020|візерунок; модель
perfume|n|ˈpɜːrfjuːm|NULL|парфум; духи
plastic|n|ˈplæstɪk|1532|пластик
pocket|n|ˈpɒkɪt|1629|кишеня
pullover|n|ˈpʊlˌoʊvər|NULL|светр
put on|v|pʊt ɒn|NULL|одягнути; увімкнути
pyjamas|n|pɪˈdʒɑːməz|NULL|піжама
raincoat|n|ˈreɪnkoʊt|NULL|плащ
shirt|n|ʃɜːrt|1784|сорочка
shoe|n|ʃuː|1430|взуття
shorts|n|ʃɔːrts|4922|шорти
silk|n|sɪlk|4009|шовк
size|n|saɪz|753|розмір
skirt|n|skɜːrt|3670|спідниця
sleeve|n|sliːv|4616|рукав
socks|n|sɒks|NULL|шкарпетки
suit|v|suːt|3197|підходити; костюм
sweater|n|ˈswɛtər|4841|светр
sweatshirt|n|ˈswɛtˌʃɜːrt|NULL|свитшот
swimming|n/v|ˈswɪmɪŋ|4492|плавання; плавати
swimsuit|n|ˈswɪmˌsuːt|NULL|купальник
take off|v|ˌteɪk ˈɒf|NULL|знімати; злітати
tie|v|taɪ|1975|зав'язувати; краватка
tights|n|taɪts|NULL|колготки
tracksuit|n|ˈtrækˌsuːt|NULL|спортивний костюм
trainers|n|ˈtreɪnərz|NULL|кросівки
trousers|n|ˈtraʊzərz|NULL|штани
try on|v|ˌtraɪ ˈɒn|NULL|приміряти
umbrella|n|ʌmˈbrɛlə|NULL|парасолька
underpants|n|ˈʌndərˌpænts|NULL|трусики
uniform|n|ˈjuːnɪfɔːrm|3069|форма; однострій
wear|v|weər|519|носити; одягати
wool|n|wʊl|NULL|вовна

Category: Colours
black|adj|blæk|1993|чорний
blue|adj|bluː|3725|синій
brown|adj|braʊn|1782|коричневий
gold|n/adj|ɡəʊld|1262|золото; золотий
green|adj/n|ɡriːn|2144|зелений; зелений колір
grey|adj/n|ɡreɪ|NULL|сірий; сірий колір
orange|adj|ˈɒrɪndʒ|3303|помаранчевий
pink|adj|pɪŋk|2512|рожевий
purple|adj|ˈpɜːrpl|3931|фіолетовий
red|adj|rɛd|598|червоний
silver|n|ˈsɪlvər|2461|срібло
white|adj|waɪt|2740|білий
yellow|adj|ˈjɛloʊ|1675|жовтий

Category: Communications and Technology
CD-Rom|n|ˌsiːdiːˈrɒm|NULL|CD-ROM
CD|n|ˌsiːˈdiː|NULL|компакт-диск
DVD|n|ˌdiːˌviːˈdiː|NULL|DVD-диск
it|pron|ɪt|10|воно; це
access|n/v|ˈækses|4416|доступ; отримувати доступ
address|n/v|əˈdres|1820|адреса; звертатися
airmail|n|ˈeərmeɪl|NULL|авіапошта
by post|adv|baɪ poʊst|NULL|по пошті
calculator|n|ˈkælkjʊleɪtər|NULL|калькулятор
call back|v|ˌkɔːl ˈbæk|NULL|передзвонити
call|v|kɔːl|645|дзвонити; називати
chat room|n|ˈʧæt ruːm|NULL|чат-кімната
chat|v|ʧæt|NULL|балакати; спілкуватися
click|v|klɪk|3832|клацати; натиснути
computer|n|kəmˈpjuːtər|590|комп'ютер
connect|v|kəˈnɛkt|1645|з'єднувати; приєднувати
connection|n|kəˈnɛkʃən|1427|зв'язок; з'єднання
delete|v|dɪˈliːt|NULL|видаляти
dial up|v|ˌdaɪəl ˈʌp|NULL|набирати номер
dial|v|ˈdaɪəl|NULL|набирати; крутити
digital|adj|ˈdɪdʒɪtəl|2377|цифровий
directory|n|dɪˈrɛktəri|NULL|довідник; каталог
disc|n|dɪsk|4832|диск; платівка
disk|n|dɪsk|3798|диск; магнітний диск
download|v|ˈdaʊnˌləʊd|NULL|завантажувати; скачувати
electronic|adj|ˌɪlɛkˈtrɒnɪk|2429|електронний
email|n|ˈiːmeɪl|NULL|електронна пошта
engaged|adj|ɪnˈɡeɪdʒd|NULL|зайнятий; заручений
enter|v|ˈɛntər|710|входити; вписувати
envelope|n|ˈɛnvələʊp|3916|конверт; обгортка
equipment|n|ɪˈkwɪpmənt|1359|обладнання; екіпірування
fax|n|fæks|NULL|факс; факсимільний зв'язок
hang up|v|ˌhæŋ ˈʌp|NULL|покласти трубку
headline|n|ˈhɛdˌlaɪn|3320|заголовок
homepage|n|ˈhəʊmˌpeɪdʒ|NULL|головна сторінка
internet|n|ˈɪntəˌnɛt|NULL|інтернет
invent|v|ɪnˈvɛnt|3426|винайти
invention|n|ɪnˈvɛnʃən|4828|винахід
keyboard|n|ˈkiːbɔːrd|NULL|клавіатура
laptop|n|ˈlæpˌtɒp|NULL|ноутбук
laser|n|ˈleɪzə|3932|лазер
machine|n|məˈʃiːn|1025|машина; апарат
message|n|ˈmɛsɪdʒ|810|повідомлення; послання
mobile phone|n|ˌmoʊbəl ˈfoʊn|NULL|мобільний телефон
mouse mat|n|ˈmaʊs mæt|NULL|килимок для миші
mouse|n|maʊs|3336|миша
network|n|ˈnɛtwɜːk|885|мережа
online|adv|ˈɒnlaɪn|3522|онлайн
operator|n|ˈɒpəreɪtər|3238|оператор
parcel|n|ˈpɑːsəl|NULL|посилка; пакет
password|n|ˈpæswɜːrd|NULL|пароль
phone|n|foʊn|558|телефон
postage|n|ˈpoʊstɪdʒ|NULL|поштовий збір
postcard|n|ˈpoʊstˌkɑːrd|NULL|листівка
print|v|prɪnt|3177|друкувати
printer|n|ˈprɪntər|NULL|принтер
program|n|ˈprəʊɡræm|3938|програма
reply|v|rɪˈplaɪ|2239|відповідати
ring up|v|rɪŋ ʌp|NULL|дзвонити
ring|n|rɪŋ|2397|кільце; дзвоник
screen|n|skriːn|4894|екран
software|n|ˈsɒftˌweər|1586|програмне забезпечення
switch off|v|ˌswɪtʃ ˈɒf|NULL|вимкнути
switch on|v|ˌswɪtʃ ˈɒn|NULL|увімкнути
telephone|n|ˈtɛlɪˌfoʊn|1879|телефон
text message|n|ˈtɛkst ˌmɛsɪdʒ|NULL|текстове повідомлення
text|n|tɛkst|1296|текст
turn off|v|ˌtɜːrn ˈɒf|NULL|вимкнути
turn on|v|ˌtɜːrn ˈɒn|NULL|увімкнути

Category: Continents
Africa|n|ˈæfrɪkə|NULL|Африка
Antarctica|n|ænˈtɑːrktɪkə|NULL|Антарктида
Asia|n|ˈeɪʒə|NULL|Азія
Australia|n|ɒˈstreɪliə|NULL|Австралія
Europe|n|ˈjʊrəp|NULL|Європа
North America|n|nɔːrθ əˈmɛrɪkə|NULL|Північна Америка
South America|n|saʊθ əˈmɛrɪkə|NULL|Південна Америка

Category: Countries, languages and nationalities
Brazil|n|brəˈzɪl|NULL|Бразилія
Brazilian|adj|brəˈzɪliən|NULL|бразильський
Canada|n|ˈkænədə|NULL|Канада
Canadian|adj|kəˈneɪdiən|NULL|канадський
China|n|ˈtʃaɪnə|NULL|Китай
Chinese|adj|ˌtʃaɪˈniːz|NULL|китайський
France|n|fræns|NULL|Франція
French|adj|frɛntʃ|NULL|французький
Germany|n|ˈdʒɜːrməni|NULL|Німеччина
German|adj|ˈdʒɜːrmən|NULL|німецький
India|n|ˈɪndiə|NULL|Індія
Indian|adj|ˈɪndiən|NULL|індійський
Ireland|n|ˈaɪərlənd|NULL|Ірландія
Irish|adj|ˈaɪrɪʃ|NULL|ірландський
Italy|n|ˈɪtəli|NULL|Італія
Italian|adj|ɪˈtæliən|NULL|італійський
Poland|n|ˈpoʊlənd|NULL|Польща
Polish|adj|ˈpoʊlɪʃ|NULL|польський
Spain|n|speɪn|NULL|Іспанія
Spanish|adj|ˈspænɪʃ|NULL|іспанський
Ukraine|n|juːˈkreɪn|NULL|Україна
Ukrainian|adj|juːˈkreɪniən|NULL|український
United Kingdom|n|juːˈnaɪtɪd ˈkɪŋdəm|NULL|Великобританія
British|adj|ˈbrɪtɪʃ|NULL|британський
United States|n|juːˈnaɪtɪd steɪts|NULL|США
American|adj|əˈmɛrɪkən|NULL|американський

Category: Days of the week
Monday|n|ˈmʌndeɪ|NULL|понеділок
Tuesday|n|ˈtjuːzdeɪ|NULL|вівторок
