a.m.;abbr;ˌeɪˈɛm;ранок;до полудня
ability ; n ; əˈbɪlɪti ; здатність, уміння  
able ; adj ; ˈeɪbəl ; здатний, спроможний  
about ; prep/adv ; əˈbaʊt ; про, близько  
above ; prep/adv ; əˈbʌv ; над, вище  
abroad ; adv ; əˈbrɔːd ; за кордоном  
absent ; adj ; ˈæbsənt ; відсутній  
accept ; v ; əkˈsept ; приймати, погоджуватися  
access ; n/v ; ˈækses ; доступ, отримувати доступ  
accident ; n ; ˈæksɪdənt ; нещасний випадок  
accommodation ; n ; əˌkɒməˈdeɪʃn ; житло, розміщення  
accompany ; v ; əˈkʌmpəni ; супроводжувати  
according to ; prep ; əˈkɔːrdɪŋ tuː ; згідно з  
account ; n/v ; əˈkaʊnt ; рахунок, звіт  
accurate ; adj ; ˈækjʊrət ; точний  
ache ; n/v ; eɪk ; біль, боліти  
achieve ; v ; əˈtʃiːv ; досягати  
across ; prep/adv ; əˈkrɒs ; через, по той бік  
act ; n/v ; ækt ; дія, діяти  
action ; n ; ˈækʃn ; дія, дію  
active ; adj ; ˈæktɪv ; активний  
activity ; n ; ækˈtɪvɪti ; діяльність  
actor ; n ; ˈæktər ; актор  
actress ; n ; ˈæktrɪs ; актриса  
actual ; adj ; ˈæktʃuəl ; реальний  
ad ; n ; æd ; реклама  
add ; v ; æd ; додавати  
addition ; n ; əˈdɪʃn ; додавання, додаток  
address ; n/v ; əˈdres ; адреса, звертатися  
admire ; v ; ədˈmaɪər ; захоплюватися  
admission ; n ; ədˈmɪʃn ; допуск, визнання  
admit ; v ; ədˈmɪt ; визнавати, допускати  
adult ; n/adj ; ˈædʌlt ; дорослий, дорослий  
advanced ; adj ; ədˈvænst ; просунутий  
advantage ; n ; ədˈvæntɪdʒ ; перевага  
adventure ; n ; ədˈventʃər ; пригода  
advert ; n ; ˈædvɜːt ; реклама  
advertise ; v ; ˈædvətaɪz ; рекламувати  
advertisement ; n ; ədˈvɜːtɪsmənt ; реклама  
advice ; n ; ədˈvaɪs ; порада  
advise ; v ; ədˈvaɪz ; радити  
aeroplane ; n ; ˈeərəpleɪn ; літак  
afford ; v ; əˈfɔːd ; мати змогу  
afraid ; adj ; əˈfreɪd ; наляканий  
after ; prep/adv/conj ; ˈæftər ; після  
afternoon ; n ; ˌæftəˈnuːn ; післяобіддя  
afterwards ; adv ; ˈæftəwədz ; потім  
again ; adv ; əˈɡen ; знову  
against ; prep ; əˈɡenst ; проти  
age ; n/v ; eɪdʒ ; вік, старіти  
aged ; adj ; ˈeɪdʒd ; старий  
agency ; n ; ˈeɪdʒənsi ; агентство  
agent ; n ; ˈeɪdʒənt ; агент  
ago ; adv ; əˈɡoʊ ; тому  
agree ; v ; əˈɡriː ; погоджуватися  
ahead ; adv ; əˈhɛd ; попереду  
aim ; n/v ; eɪm ; ціль, цілити  
air force ; n ; ˈeər ˌfɔːrs ; повітряні сили  
air-conditioning ; n ; ˈeər kənˌdɪʃənɪŋ ; кондиціонування повітря  
air ; n ; eər ; повітря  
airline ; n ; ˈeərlaɪn ; авіакомпанія  
airmail ; n ; ˈeərmeɪl ; авіапошта  
airport ; n ; ˈeərpɔːrt ; аеропорт  
alarm clock ; n ; əˈlɑːrm klɒk ; будильник  
alarm ; n/v ; əˈlɑːrm ; тривога, сповіщати  
album ; n ; ˈælbəm ; альбом  
alike ; adj/adv ; əˈlaɪk ; схожий, однаково  
alive ; adj ; əˈlaɪv ; живий  
all right ; adj/adv ; ɔːl ˈraɪt ; гаразд, добре  
all ; adj/pron ; ɔːl ; увесь, всі  
allow ; v ; əˈlaʊ ; дозволяти  
almost ; adv ; ˈɔːlməʊst ; майже  
alone ; adj/adv ; əˈləʊn ; самотній, на самоті  
along ; prep/adv ; əˈlɒŋ ; вздовж, разом  
aloud ; adv ; əˈlaʊd ; голосно  
alphabet ; n ; ˈælfəbɛt ; алфавіт  
already ; adv ; ɔːlˈrɛdi ; вже  
alright ; adv ; ɔːlˈraɪt ; гаразд  
also ; adv ; ˈɔːlsəʊ ; також  
although ; conj ; ɔːlˈðəʊ ; хоча  
altogether ; adv ; ˌɔːltəˈɡɛðər ; загалом  
always ; adv ; ˈɔːlweɪz ; завжди  
amazed ; adj ; əˈmeɪzd ; вражений  
amazing ; adj ; əˈmeɪzɪŋ ; вражаючий  
ambassador ; n ; æmˈbæsədər ; посол  
ambition ; n ; æmˈbɪʃn ; амбіція  
ambulance ; n ; ˈæmbjʊləns ; швидка допомога  
among ; prep ; əˈmʌŋ ; серед  
amount ; n ; əˈmaʊnt ; кількість  
amusing ; adj ; əˈmjuːzɪŋ ; забавний  
ancient ; adj ; ˈeɪnʃənt ; давній  
and ; conj ; ænd ; і  
angry ; adj ; ˈæŋɡri ; сердитий  
animal ; n ; ˈænɪməl ; тварина  
ankle ; n ; ˈæŋkl ; щиколотка  
anniversary ; n ; ˌænɪˈvɜːsəri ; річниця  
announce ; v ; əˈnaʊns ; оголошувати  
announcement ; n ; əˈnaʊnsmənt ; оголошення  
annoy ; v ; əˈnɔɪ ; дратувати  
annual ; adj ; ˈænjuəl ; щорічний  
another ; adj/pron ; əˈnʌðər ; інший  
answer ; n/v ; ˈænsər ; відповідь, відповідати  
    answer ; n/v ; ˈænsər ; відповідь, відповідати  
    answerphone ; n ; ˈænsəfəʊn ; автовідповідач  
    antique ; n/adj ; ænˈtiːk ; антикваріат, антикварний  
    anxious ; adj ; ˈæŋkʃəs ; тривожний  
    any ; adj/pron ; ˈeni ; будь-який, будь-хто  
    anybody ; pron ; ˈenibɒdi ; будь-хто  
    anyhow ; adv ; ˈenihaʊ ; якось, все одно  
    anyone ; pron ; ˈeniwʌn ; будь-хто  
    anything ; pron ; ˈeniθɪŋ ; будь-що  
    anyway ; adv ; ˈeniweɪ ; як би там не було  
    anywhere ; adv ; ˈenɪweə ; будь-де  
    apart from ; prep ; əˈpɑːt frəm ; окрім  
    apartment ; n ; əˈpɑːtmənt ; квартира  
    apologise ; v ; əˈpɒlədʒaɪz ; вибачатися  
    apology ; n ; əˈpɒlədʒi ; вибачення  
    appear ; v ; əˈpɪə ; з'являтися  
    appearance ; n ; əˈpɪərəns ; зовнішність, поява  
    apple ; n ; ˈæpl ; яблуко  
    application ; n ; ˌæplɪˈkeɪʃn ; заявка, програма  
    apply ; v ; əˈplaɪ ; подавати заявку, застосовувати  
    appointment ; n ; əˈpɔɪntmənt ; призначення, зустріч  
    approach ; n/v ; əˈprəʊtʃ ; підхід, наближатися  
    approve ; v ; əˈpruːv ; схвалювати  
    architect ; n ; ˈɑːkɪtekt ; архітектор  
    area ; n ; ˈeəriə ; район, область  
    argue ; v ; ˈɑːɡjuː ; сперечатися  
    arm ; n ; ɑːm ; рука  
    armchair ; n ; ˈɑːmtʃeə ; крісло  
    army ; n ; ˈɑːmi ; армія  
    around ; prep/adv ; əˈraʊnd ; навколо, приблизно  
    arrange ; v ; əˈreɪndʒ ; організовувати  
    arrest ; n/v ; əˈrest ; арешт, заарештовувати  
    arrival ; n ; əˈraɪvl ; прибуття  
    arrive ; v ; əˈraɪv ; прибувати  
    art ; n ; ɑːt ; мистецтво  
    article ; n ; ˈɑːtɪkl ; стаття  
    artist ; n ; ˈɑːtɪst ; художник  
    as well as ; prep ; æz ˈwel æz ; також, як і  
    as well ; adv ; æz ˈwel ; також  
    as ; conj/prep ; æz ; як, якщо  
    ashamed ; adj ; əˈʃeɪmd ; сором'язливий  
    ask ; v ; ɑːsk ; питати  
    asleep ; adj ; əˈsliːp ; сплячий  
    aspirin ; n ; ˈæspərɪn ; аспірин  
    assistant ; n ; əˈsɪstənt ; помічник  
    at all ; phr ; æt ˈɔːl ; взагалі  
    at first ; phr ; æt ˈfɜːst ; спочатку  
    at last ; phr ; æt ˈlɑːst ; нарешті  
    at least ; phr ; æt ˈliːst ; принаймні  
    at once ; phr ; æt ˈwʌns ; негайно  
    at present ; phr ; æt ˈpreznt ; наразі  
    at the same time ; phr ; æt ði ˈseɪm taɪm ; одночасно  
    at ; prep ; æt ; в, на  
    athlete ; n ; ˈæθliːt ; спортсмен  
    athletics ; n ; æθˈlɛtɪks ; легка атлетика  
    atmosphere ; n ; ˈætməsfɪə ; атмосфера  
    attach ; v ; əˈtætʃ ; прикріплювати  
    attack ; n/v ; əˈtæk ; атака, атакувати  
    attempt ; n/v ; əˈtɛmpt ; спроба, намагатися  
    attend ; v ; əˈtɛnd ; відвідувати  
    attention ; n ; əˈtɛnʃn ; увага  
    attitude ; n ; ˈætɪtjuːd ; ставлення  
    attract ; v ; əˈtrækt ; приваблювати  
    attraction ; n ; əˈtrækʃn ; привабливість  
    attractive ; adj ; əˈtræktɪv ; привабливий  
    audience ; n ; ˈɔːdiəns ; аудиторія  
    aunt ; n ; ɑːnt ; тітка  
    automatically ; adv ; ˌɔːtəˈmætɪkli ; автоматично  
    available ; adj ; əˈveɪləbl ; доступний  
