ability|n|əˈbɪlɪti|783|здатність; уміння
able|adj|ˈeɪbəl|386|здатний; спроможний
about|prep/adv|əˈbaʊt|179|про; близько
above|prep/adv|əˈbʌv|1599|над; вище
abroad|adv|əˈbrɔːd|3392|за кордоном
absent|adj|ˈæbsənt|NULL|відсутній
accept|v|əkˈsept|767|приймати; погоджуватися
access|n/v|ˈækses|4416|доступ; отримувати доступ
accident|n|ˈæksɪdənt|1720|нещасний випадок
accommodation|n|əˌkɒməˈdeɪʃn|NULL|житло; розміщення
accompany|v|əˈkʌmpəni|2460|супроводжувати
according to|prep|əˈkɔːrdɪŋ tuː|NULL|згідно з
account|n/v|əˈkaʊnt|1923|рахунок; звіт
accurate|adj|ˈækjʊrət|2754|точний
ache|n/v|eɪk|NULL|біль; боліти
achieve|v|əˈtʃiːv|1155|досягати
across|prep/adv|əˈkrɒs|3154|через; по той бік
act|n/v|ækt|1139|дія; діяти
action|n|ˈækʃn|503|дія; дію
active|adj|ˈæktɪv|1451|активний
activity|n|ækˈtɪvɪti|538|діяльність
actor|n|ˈæktər|1507|актор
actress|n|ˈæktrɪs|3263|актриса
actual|adj|ˈæktʃuəl|1752|реальний
ad|n|æd|1761|реклама
add|v|æd|341|додавати
addition|n|əˈdɪʃn|3976|додавання; додаток
address|n/v|əˈdres|1820|адреса; звертатися
admire|v|ədˈmaɪər|3305|захоплюватися
admission|n|ədˈmɪʃn|3057|допуск; визнання
admit|v|ədˈmɪt|1093|визнавати; допускати
adult|n/adj|ˈædʌlt|972|дорослий; дорослий
advanced|adj|ədˈvænst|2824|просунутий
advantage|n|ədˈvæntɪdʒ|1308|перевага
adventure|n|ədˈventʃər|2885|пригода
advert|n|ˈædvɜːt|NULL|реклама
advertise|v|ˈædvətaɪz|NULL|рекламувати
advertisement|n|ədˈvɜːtɪsmənt|NULL|реклама
advice|n|ədˈvaɪs|1650|порада
advise|v|ədˈvaɪz|2575|радити
aeroplane|n|ˈeərəpleɪn|NULL|літак
afford|v|əˈfɔːd|1860|мати змогу
afraid|adj|əˈfreɪd|1407|наляканий
Africa|n|ˈæfrɪkə|NULL|Африка
after|prep/adv/conj|ˈæftər|260|після
afternoon|n|ˌæftəˈnuːn|1195|післяобіддя
afterwards|adv|ˈæftəwədz|NULL|потім
again|adv|əˈɡen|184|знову
against|prep|əˈɡenst|180|проти
age|n/v|eɪdʒ|3942|вік; старіти
aged|adj|ˈeɪdʒd|NULL|старий
agency|n|ˈeɪdʒənsi|695|агентство
agent|n|ˈeɪdʒənt|1023|агент
ago|adv|əˈɡoʊ|317|тому
agree|v|əˈɡriː|515|погоджуватися
ahead|adv|əˈhɛd|2672|попереду
aim|n/v|eɪm|3675|ціль; цілити
air|n|eər|371|повітря
air-conditioning|n|ˈeər kənˌdɪʃənɪŋ|NULL|кондиціонування повітря
air force|n|ˈeər ˌfɔːrs|NULL|повітряні сили
airline|n|ˈeərlaɪn|2147|авіакомпанія
airmail|n|ˈeərmeɪl|NULL|авіапошта
airport|n|ˈeərpɔːrt|1780|аеропорт
alarm|n/v|əˈlɑːrm|3728|тривога; сповіщати
alarm clock|n|əˈlɑːrm klɒk|NULL|будильник
album|n|ˈælbəm|2234|альбом
alike|adj/adv|əˈlaɪk|4440|схожий; однаково
alive|adj|əˈlaɪv|1541|живий
all|adj/pron|ɔːl|222|увесь; всі
allow|v|əˈlaʊ|340|дозволяти
all right|adj/adv|ɔːl ˈraɪt|NULL|гаразд; добре
almost|adv|ˈɔːlməʊst|292|майже
alone|adj/adv|əˈləʊn|1620|самотній; на самоті
along|prep/adv|əˈlɒŋ|1200|вздовж; разом
aloud|adv|əˈlaʊd|NULL|голосно
alphabet|n|ˈælfəbɛt|NULL|алфавіт
already|adv|ɔːlˈrɛdi|335|вже
alright|adv|ɔːlˈraɪt|NULL|гаразд
also|adv|ˈɔːlsəʊ|87|також
although|conj|ɔːlˈðəʊ|379|хоча
altogether|adv|ˌɔːltəˈɡɛðər|3838|загалом
always|adv|ˈɔːlweɪz|206|завжди
a.m.|abbr|ˌeɪˈɛm|NULL|ранок; до полудня
amazed|adj|əˈmeɪzd|NULL|вражений
amazing|adj|əˈmeɪzɪŋ|2314|вражаючий
ambassador|n|æmˈbæsədər|4567|посол
ambition|n|æmˈbɪʃn|4326|амбіція
ambulance|n|ˈæmbjʊləns|NULL|швидка допомога
among|prep|əˈmʌŋ|280|серед
amount|n|əˈmaʊnt|782|кількість
amusing|adj|əˈmjuːzɪŋ|NULL|забавний
ancient|adj|ˈeɪnʃənt|1832|давній
and|conj|ænd|3|і
angry|adj|ˈæŋɡri|1717|сердитий
animal|n|ˈænɪməl|729|тварина
ankle|n|ˈæŋkl|3850|щиколотка
anniversary|n|ˌænɪˈvɜːsəri|3403|річниця
announce|v|əˈnaʊns|1167|оголошувати
announcement|n|əˈnaʊnsmənt|3639|оголошення
annoy|v|əˈnɔɪ|NULL|дратувати
annoyed|adj|əˈnɔɪd|NULL|роздратований
annual|adj|ˈænjuəl|1368|щорічний
another|adj/pron|əˈnʌðər|2337|інший
answer|n/v|ˈænsər|824|відповідь; відповідати
answerphone|n|ˈænsəfəʊn|NULL|автовідповідач
Antarctica|n|ænˈtɑːrktɪkə|NULL|Антарктика
antique|n/adj|ænˈtiːk|NULL|антикваріат; антикварний
anxious|adj|ˈæŋkʃəs|3864|тривожний
any|adj/pron|ˈeni|4720|будь-який; будь-хто
anybody|pron|ˈenibɒdi|1387|будь-хто
anyhow|adv|ˈenihaʊ|NULL|якось; все одно
anyone|pron|ˈeniwʌn|659|будь-хто
anything|pron|ˈeniθɪŋ|332|будь-що
anyway|adv|ˈeniweɪ|1400|як би там не було
anywhere|adv|ˈenɪweə|1893|будь-де
apart from|prep|əˈpɑːt frəm|NULL|окрім
apartment|n|əˈpɑːtmənt|1280|квартира
apartment block|n|əˈpɑːrtmənt blɒk|NULL|блок квартир
apologise|v|əˈpɒlədʒaɪz|NULL|вибачатися
apology|n|əˈpɒlədʒi|4999|вибачення
appear|v|əˈpɪə|396|з'являтися
appearance|n|əˈpɪərəns|1695|зовнішність; поява
apple|n|ˈæpl|2718|яблуко
application|n|ˌæplɪˈkeɪʃn|1528|заявка; програма
apply|v|əˈplaɪ|941|подавати заявку; застосовувати
appointment|n|əˈpɔɪntmənt|3048|призначення; зустріч
approach|n/v|əˈprəʊtʃ|1374|підхід; наближатися
approve|v|əˈpruːv|2070|схвалювати
April|April|ˈeɪprəl|NULL|квітень
architect|n|ˈɑːkɪtekt|3393|архітектор
area|n|ˈeəriə|231|район; область
argue|v|ˈɑːɡjuː|779|сперечатися
arithmetic|n|əˈrɪθmətɪk|NULL|арифметика
arm|n|ɑːm|4727|рука
armchair|n|ˈɑːmtʃeə|NULL|крісло
army|n|ˈɑːmi|1547|армія
around|prep/adv|əˈraʊnd|327|навколо; приблизно
arrange|v|əˈreɪndʒ|2236|організовувати
arrest|n/v|əˈrest|3052|арешт; заарештовувати
arrival|n|əˈraɪvl|3222|прибуття
arrive|v|əˈraɪv|813|прибувати
art|n|ɑːt|347|мистецтво
